"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Wehner","Dave","David (Dave) M Wehner","IQ262523884","1968","50","Male","","Facebook","76","Public Company","Technology ","  40,653.0 ","  555,575.6 ","  27,742 ","www.facebook.com","Chief Financial Officer","","No","1-Jun-14","1-Nov-12","  4.2 ","  5.7 ","Internal","Vice President - Corporate Finance ","Other","ZYNGA INC","Technology","Public"," Chief Financial Officer  ","CFO/FD","Unable to calculate","6","None","None","None","None","None","None","11","1","None","None","9","None","None","None","11","11","None","None","Technology, Financial Services,Healthcare and Consumer","None","11","2","None","10","None","US","30","None","None","None","None","None","None","None","None","None","Georgetown University ","Chemistry","Unknown","No","NA","NA","Masters of Science , 1993","Stanford University "
"","Benet","Jay","Jay Steven Benet","IQ20524635","1952","66","Male","American","Travelers Cos.","106","Public Company","Financial Services ","  28,902.0 ","  34,564.2 ","  30,800 ","www.travelers.com","Vice Chairman/Chief Financial Officer","","No","1-Feb-02","1-Feb-02","  16.5 ","  16.5 ","External","NA","NA","Citigroup Investments Inc","Financial Services","Private","Head of Financial Planning Analysis and Reporting ","FP&A","21","15","None","None","None","1","1","None","None","None","None","None","19","Unable to Calculate ","None","None","None","1","None","None","","None","21","None","None","None","None","US","22","None","None","None","None","None","None","None","None","None","Binghamton University ","Arts","1974","Yes"," Simon Business School, University of Rochester","1976","No","NA"
"","Blackley","Richard","Richard Scott Blackley","IQ136586460","1968","50","Male","","Capital One Financial","101","Public Company","Financial Services ","  19,686.0 ","  45,899.4 ","  47,900 ","www.capitalone.com","Chief Financial Officer","","Yes","9-May-16","1-Mar-11","  2.2 ","  7.4 ","Internal","Senior Vice President/Controller ","Accounting","Federal National Mortgage Association","Financial Services ","Private ","Senior VP, Accounting","Accounting","15","2","8","None","1","5","None","None","None","None","None","None","None","12","None","None","None","None","None","None","","None","11","None","None","12","None","US","14","None","None","None","None","None","None","None","None","None","University of Utah, David Eccles School of Business","Accounting","1991","No","NA","NA","No","NA"
"","Nallen","John","John Patrick Nallen","IQ684033","1958","60","Male","American","Twenty-First Century Fox","109","Public Company","Consumer","  28,500.0 ","  78,176.2 ","  21,700 ","www.21cf.com","Senior Executive Vice President/Chief Financial Officer","","Yes","1-Jul-13","12-Nov-04","  5.1 ","  13.7 ","Internal","Executive Vice President/Deputy Chief Financial Officer","Other","News Holdings Ltd","Consumer","Private ","Executive Vice President/Deputy Chief Financial Officer ","Other","17","5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","17","Unable to calculate","None","None","Unknown","Unknown","Unknown","Unknown","","23","None","None","None","Unable to Calculate","None","US","23","None ","None ","None ","None ","None ","None ","None ","None ","None","Iona College  ","Business Administration","Unknown","No","NA","NA","No","NA"
"","Bishop","Laura","Laura M Bishop","IQ264893863","","Unknown","Female","","USAA","100","Private Company","Financial Services ","  29,880.0 ","0","  28,000 ","www.usaa.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jun-14","1-Jan-01","  4.2 ","  17.6 ","Internal","Senior Vice President and Deputy Chief Financial Officer","Other","Luby's Inc. (f/Luby's Cafeterias Inc)","Consumer","Private","Senior Vice President and Chief Financial Officer ","CFO/FD","19","None","None","1","None","2","3","None","None","None","3","None","4","None","None","None","None","None","None","None","","None","None","None","16","None","None","US","20","None","None","None","None","None","None","None","None","None","Texas University of Austin","Non Finance","1983","No","NA","NA","No","NA"
"","Birns","Ira","Ira M Birns","IQ33918103","1962","56","Male","","World Fuel Services","91","Public Company","Industrial and Natural Resources ","  33,695.5 ","  1,483.0 ","  5,000 ","www.wfscorp.com","Executive Vice President/Chief Financial Officer","","Yes","16-Apr-07","16-Apr-07","  11.3 ","  11.3 ","External","NA","NA","ARROW ELECTRONICS INC ","Industrial and Natural Resources ","Public","Vice President and Assistant Treasurer ","Treasury","34","10","6","None","None","None","None","None","None","None","24","None","5","None","None","None","None","None","None","None","","None","None","None","34","None","None","US","34","None","None","None","None","None","None","None","None","None","Hofstra University ","Business Administration","1983","No","NA","NA","No","NA"
"","King","Martin","Martin Gray King","IQ54766765","1964","54","Male","","Philip Morris International","108","Public Company","Consumer","  28,748.0 ","  125,827.5 ","  80,600 ","www.pmi.com","Chief Financial Officer","","Yes","1-Jan-18","1-Jan-91","  0.6 ","  27.6 ","Internal","Regional President","Non-Finance","NA","NA","NA","NA","NA","1","0.3","None","None","None","None","None","None","None","None","None","None","1","None","None","None","None","None","None","None","","27","None","None","None","None","None","US, Indonesia, Portugal and Canada","23","1","None","1","None","1","None","7","None","None","Harvard University ","Government","Unknown","Yes","Darden School of Business, University of Virginia  ","Unknown","No","NA"
"","Kalathur","Raj","Rajesh (Raj) Kalathur","IQ62495758","1968","50","Male","","Deere","102","Public Company","Industrial and Natural Resources ","  29,070.7 ","  47,096.8 ","  60,476 ","www.deere.com","Senior Vice President/Chief Financial Officer","","Yes","1-Sep-12","1-Jan-96","  5.9 ","  22.6 ","Internal","Deputy Financial Officer  ","Other","NA","NA","NA","NA","NA","22","6","None","None","None","None","None","Unknown","None","None","None","None","6","None","Unknown","None","None","None","None","None","","None","None","None","22","None","None","US, Mexico, China, India","16","None","10","None","None","None","None","3","3","None","Unknown","Unknown","Unknown","Yes","University of Chicago","1996","Master's Degree, Industrial Engineering ","University of Alabama "
"","Knopf","David","David Knopf","IQ537003666","1988","30","Male","","KRAFT HEINZ CO ","114","Public Company","Consumer","  26,232.0 ","  73,051.8 ","  39,000 ","www.kraftheinzcompany.com","Executive Vice President/Chief Financial Officer","","Yes","1-Oct-17","1-Jul-15","  0.8 ","  3.1 ","Internal","Vice President","Non-Finance","3G Capital Inc","Financial Services","Private","Associate Partner ","Non-finance","8","1","None","None","None","None","None","None","None","1","None","None","2","None","None","None","None","5","3","None","","3","8","None","None","None","None","US and UK","10","None","None","None","1","None","None","None","None","None","Princeton University ","Unknown","2010","No","NA","NA","No","NA"
"","Dannewitz","Chuck","Charles (Chuck) V Dannewitz","IQ307302","1954","64","Male","","Tech Data","83","Public Company","Technology ","  36,775.0 ","  3,191.5 ","  14,000 ","www.techdata.com","Executive Vice President/Chief Financial Officer","","Yes","5-Jun-15","1-Feb-95","  3.1 ","  23.5 ","Internal","Senior Vice President/Regional Chief Financial Officer","Divisional CFO","Price Waterhouse LLP","Technology","Public","Tax Partner","Tax","36","3","None","None","None","1","None","None","None","None","11","22","4","14","None","None","None","None","None","None","","None","None","None","None","36","None","US","36","None","None","None","None","None","None","None","None","None","Illinois Wesleyan University ","Science","1976","No","NA","NA","No","NA"
"","Liguori","Tom","Thomas (Tom) Liguori","IQ548295425","1957","61","Male","American","Avnet","128","Public Company","Technology ","  17,440.0 ","  4,859.2 ","  15,700 ","www.avnet.com","Chief Financial Officer","","No","29-Jan-18","29-Jan-18","  0.5 ","  0.5 ","External","NA","NA","ADVANCED ENERGY INDUSTRIES INC","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer  ","CFO/FD","38","18","3","None","None","4","None","None","None","4","None","None","32","6","None","None","None","None","None","None","","4","None","None","10","22","None","US","38","None","None","None","None","None","None","None","None","None"," Boston University  ","Business Administration","1980","Yes","Arizona State University
","1986","No","NA"
"","Gladden","Brian","Brian T Gladden","IQ278926654","1965","53","Male","","Mondelez International","117","Public Company","Consumer","  25,896.0 ","  59,506.7 ","  83,000 ","www.mondelezinternational.com","Executive Vice President/Chief Financial Officer","","No","13-Oct-14","13-Oct-14","  3.8 ","  3.8 ","External","NA","NA","Dell Inc","Technology","Private","Senior VP/Chief Financial Officer  ","CFO/FD","26","10","6","11","None","None","11","6","None","3","6","6","19","None","1","2","None","None","None","None","","4","None","None","18","6","None","US","26","None","None","None","None","None","None","None","None","None","Millersville University ","Business Administration","1987","No","NA","NA","No","NA"
"","Hoguet","Karen","Karen M Hoguet","IQ318100","1956","62","Female","","Macy's","120","Public Company","Consumer","  24,837.0 ","  10,899.2 ","  130,000 ","www.macysinc.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Price","Paula","Paula A Price","","1962","56","Female","","Macy's","120","Public Company","Consumer","  24,837.0 ","  10,899.2 ","  130,000 ","www.macysinc.com","Chief Financial Officer","","No","9-Jul-18","9-Jul-18","  0.0 ","  0.0 ","External","NA","NA","Harvard Business School ","Non - Profit ","Education","Senior Lecturer - Business Administration, Accounting and Management Unit","Non-finance","22","None","6","4","1","3","4","None","None","1","None","None","2","Unable to Calculate ","None","2","2","None","None","None","","12","11","2","None","None","4","US and UK ","22","None","None","None","7","None","None","None","None","None","DePaul University ","Science","Unknown","No","NA","NA","No","NA"
"","Chase","Bill","William (Bill) J Chase","IQ208492886","1967","51","Male","","Abbvie","110","Public Company","Technology ","  28,216.0 ","  151,886.9 ","  29,000 ","www.abbvie.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-13","1-Jan-13","  5.6 ","  5.6 ","External","NA","NA","ABBOTT LABORATORIES","Healthcare ","Public","VP - Acquistions","Non-Finance","29","5","3","None","None","None","1","None","None","None","3","None","16","None","None","None","None","None","None","None","","None","None","29","None","None","None","US","29","None","None","None","None","None","None","None","None","None","University of Illinois","Science","1989","No","NA","NA","No","NA"
"","Ozan","Kevin","Kevin M Ozan","IQ40980446","1963","55","Male","","McDonald's","131","Public Company","Consumer","  22,820.4 ","  126,848.7 ","  235,000 ","www.aboutmcdonalds.com","Corporate Executive Vice President/Chief Financial Officer","","Yes","1-Mar-15","1-Jan-97","  3.4 ","  21.6 ","Internal","Auditor","Other","Ernst & Young Inc","Technology","Private","Auditor ","Other","16","3","10","7","None","None","None","1","None","None","None","None","5","11","None","None","None","None","None","None","","31","None","None","None","None","None","US","10","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"," University of Michigan  ","Business Administration","Unknown","Yes"," Kellogg School of Management, Northwestern University ","Unknown","No","NA"
"","Bedingfield","Ken","Kenneth (Ken) L Bedingfield","IQ143621782","1972","46","Male","","Northrop Grumman","118","Public Company","Industrial and Natural Resources ","  25,803.0 ","  56,052.0 ","  70,000 ","www.northropgrumman.com","Corporate Vice President/Chief Financial Officer","","Yes","1-Feb-15","28-Nov-11","  3.5 ","  6.7 ","Internal","Vice President - Finance ","Other","KPMG LLP","Technology","Partnership","Leader, National Client Leader of U.S. Aerospace and Defense Audit Practice ","Other","24","3","1","5","None","1","None","None","None","1","None","None","6","17","None","None","None","None","None","None","","None","None","None","7","18","None","US","24","None","None","None","None","None","None","None","None","None","University of Maryland ","Science","1994","No","NA","NA","No","NA"
